name,lat,lon
288532,38.84905688,-112.4797495
292140,38.92213823,-118.1948362
292224,38.92382978,-122.7171161
296874,39.01787634,-122.6578273
297614,39.03299039,-122.4268588
297794,39.03643913,-117.1332188
299775,39.07611688,-122.5944423
303886,39.16010103,-119.182091
306443,39.21181202,-118.7199351
307171,39.22631657,-107.2260725
311163,39.3065927,-118.5619974
311595,39.31556883,-117.5376888
312255,39.32836727,-116.8628067
312264,39.32873858,-116.8395307
314042,39.36462706,-116.8404884
314550,39.37543043,-118.6588198
315253,39.38956225,-119.7559653
316324,39.41126246,-119.6640996
316948,39.42375332,-118.241438
320483,39.49517454,-119.8100136
320807,39.50181062,-119.6468722
321510,39.51599625,-118.1523492
321857,39.52250628,-118.5498197
324018,39.56664731,-118.8560625
324614,39.57810513,-119.5350538
325362,39.59371403,-119.1149173
325548,39.59713939,-116.8934721
326074,39.60841174,-112.7324978
329196,39.67120981,-117.6912862
330958,39.70678642,-120.3172552
332734,39.7428015,-118.9597532
333402,39.75593915,-114.8127888
335327,39.79498618,-119.0096974
335816,39.8054539,-118.0718475
337374,39.83682254,-117.5100885
337857,39.84577742,-114.9063708
339933,39.88811234,-116.6432907
340260,39.89511046,-119.2270596
340424,39.89809367,-117.136613
341485,39.91885368,-119.063978
342297,39.93530326,-114.7653222
345060,39.99073496,-117.8449878
345118,39.9921328,-119.5154923
345162,39.99298291,-118.9977978
345208,39.99407305,-117.704012
348422,40.05896381,-117.9890899
348905,40.06864041,-118.8844522
349647,40.08320706,-117.7310961
352794,40.14695536,-119.6909033
354348,40.17813124,-117.4990889
356009,40.21127168,-118.916201
356851,40.22808069,-118.374178
360729,40.30634216,-120.1749487
363253,40.35694617,-120.2498288
363467,40.36136213,-117.3166836
364097,40.37384181,-119.3988798
364632,40.38403,-121.5077164
365398,40.39991597,-120.4900661
365571,40.40265048,-117.8859177
365900,40.41000537,-120.6567682
365911,40.410299,-116.5139995
367491,40.4416101,-121.4420741
372178,40.53623334,-118.2709703
372999,40.55253787,-106.8593058
373905,40.57082721,-116.5887239
374438,40.58115904,-115.2847412
375659,40.60601489,-117.6335434
378451,40.66234039,-119.370124
380407,40.70161107,-116.1404207
383421,40.7613079,-119.1147151
383838,40.77051904,-117.4972341
384119,40.77618461,-117.2119827
385914,40.81215747,-115.7853755
386915,40.83187712,-117.951913
388310,40.86034999,-119.3591298
391394,40.92184497,-117.097574
392528,40.9446204,-119.0066024
393657,40.96781183,-117.5045548
395584,41.00693558,-118.1267254
395978,41.01448273,-119.5602786
396473,41.02585335,-121.9289749
397699,41.05136248,-119.0368692
399051,41.08089173,-118.6799904
401114,41.12467204,-118.9934232
401852,41.14022943,-112.1784606
401969,41.14312754,-121.1020157
402587,41.15566864,-114.9762877
404223,41.19121136,-115.2873302
404417,41.1955722,-120.3874428
406556,41.24192872,-111.9345957
411422,41.34681109,-118.7906328
414227,41.40665525,-122.1852226
416792,41.46185053,-120.8422272
417271,41.47310213,-116.1535896
418215,41.49346476,-120.5559832
420081,41.53269077,-120.0774071
421674,41.56773504,-121.5751263
421772,41.56932992,-118.5624495
423398,41.60435333,-120.0828691
423850,41.61516776,-116.3005378
424150,41.62124759,-120.1082792
424848,41.6366725,-121.6302447
426429,41.67085689,-120.2086458
428482,41.71419727,-118.5219365
430494,41.75839539,-118.8382493
431683,41.78337061,-114.7105201
432122,41.79348121,-118.8644419
435732,41.87104326,-120.1517223
435768,41.87180869,-115.6286933
438194,41.92430262,-118.7025705
439393,41.9495729,-117.7595308
443326,42.03442221,-115.3636825
443760,42.04425999,-121.7440195
445208,42.07514343,-117.7647646
446158,42.09584192,-113.3750817
447326,42.12134633,-111.9181201
448156,42.13928377,-111.9172843
449727,42.17328134,-111.8428067
449771,42.17425811,-113.9802973
450301,42.18530972,-118.3769086
