lat,lon,name,province,field_id
38.777,-122.745,Geysers Unit 5-20,Other,0
38.4889,-112.8533,Blundell,Rocky_Mountain,1
38.8348,-122.7677,Bottle Rock Power,Other,2
39.753999,-118.953497,Desert Peak Power Plant,Other,3
40.5547,-116.6175,Beowawe,Basin_and_Range,4
37.6455,-118.9096,Mammoth G3,Other,5
33.1779,-115.565,CE Leathers,Basin_and_Range,6
33.158153,-115.638656,Salton Sea Power Gen Co - Unit 3,Basin_and_Range,7
32.7757,-115.2637,Ormesa III,Basin_and_Range,8
36.0372,-117.7981,Coso Finance Partners,Basin_and_Range,9
39.37,-119.766944,Steamboat Hills LP,Other,10
39.547537,-118.555613,Stillwater Facility,Other,11
40.300833,-120.105,Amedee Geothermal Venture I,Other,12
39.9663,-117.8557,Dixie Valley,Basin_and_Range,13
38.8339,-122.881,Aidlin Geothermal Power Plant,Other,14
32.7144,-115.5356,Second Imperial Geothermal,Basin_and_Range,15
39.796032,-119.010013,Brady,Other,16
42.099417,-113.38245,Raft River Geothermal Power Plant,Snake_River_Plain,17
33.0139,-115.5439,North Brawley Geothermal Plant,Basin_and_Range,18
40.9961,-118.1414,NGP Blue Mountain I LLC,Other,19
39.2944,-118.5725,ENEL Salt Wells LLC,Other,20
38.160653,-113.194462,Thermo No 1,Basin_and_Range,21
40.1808,-117.4739,Jersey Valley Geothermal Power Plant,Basin_and_Range,22
39.5911,-116.9119,McGinness Hills,Basin_and_Range,23
41.4828,-116.1511,Tuscarora Geothermal Power Plant,Basin_and_Range,24
40.380556,-119.399722,San Emidio,Other,25
44.023056,-117.46806,Neal Hot Springs Geothermal Project,Other,26
39.585833,-119.073056,"Patua Acquisition Project, LLC",Other,27
38.836667,-118.323889,Don A Campbell 1 Geothermal,Other,28
38.560278,-112.581111,Enel Cove Fort,Rocky_Mountain,29
32.144722,-108.838333,"Lightning Dock Geothermal HI-01, LLC",Rocky_Mountain,30
42.695833,-120.557778,Paisley Geothermal Generating Plant,Cascades,31
39.667002,-117.693658,Tungsten Mountain,Basin_and_Range,32
39.163279,-119.180472,Whitegrass No. 1,Other,33
39.5545,-118.85,Soda Lake 3,Other,34
40.37294,-119.4625,North Valley,Other,35
40.532133,-118.272015,Star Peak Geothermal Plant,Other,36
32.39786686,-109.3036395,16284,Rocky_Mountain,37
32.49464735,-106.9161001,18911,Rocky_Mountain,38
32.64122386,-115.7007733,23078,Basin_and_Range,39
32.7340367,-115.1064586,26170,Basin_and_Range,40
32.8064969,-115.021456,28642,Basin_and_Range,41
32.9481691,-115.8101864,33432,Basin_and_Range,42
32.96802959,-115.5332144,34131,Basin_and_Range,43
32.98066118,-109.3453502,34543,Rocky_Mountain,44
32.98691962,-115.3414059,34789,Basin_and_Range,45
33.00555713,-115.042844,35449,Basin_and_Range,46
33.04049582,-109.4478016,36616,Rocky_Mountain,47
33.05849281,-115.5338504,37234,Basin_and_Range,48
33.07598966,-115.6407339,37825,Basin_and_Range,49
33.08670023,-109.2946341,38190,Rocky_Mountain,50
33.2212846,-115.5349992,42838,Basin_and_Range,51
33.24447642,-108.8752387,43654,Rocky_Mountain,52
33.25402649,-116.0060899,43958,Basin_and_Range,53
33.43739285,-115.6867133,50367,Basin_and_Range,54
34.19226522,-117.2758886,78243,Basin_and_Range,55
34.59388546,-118.9888003,94563,Other,56
35.37724573,-117.5329988,128126,Basin_and_Range,57
35.62193088,-118.4700317,138802,Other,58
35.77694272,-106.6848048,145637,Rocky_Mountain,59
35.84530159,-106.6324424,148688,Rocky_Mountain,60
35.88585262,-116.2420636,150481,Basin_and_Range,61
35.89231345,-106.5379065,150796,Rocky_Mountain,62
36.79434377,-117.7627979,191653,Basin_and_Range,63
37.48228387,-105.846435,223453,Rocky_Mountain,64
37.61816849,-119.0681106,229762,Other,65
37.63629526,-114.5002663,230607,Basin_and_Range,66
37.66427737,-113.5679659,231887,Basin_and_Range,67
37.66430552,-118.7749557,231890,Other,68
37.66591932,-105.6625953,231958,Rocky_Mountain,69
37.68392513,-106.8254878,232795,Rocky_Mountain,70
37.75037669,-117.6407933,235893,Basin_and_Range,71
37.75346044,-108.1422723,236028,Rocky_Mountain,72
37.77194861,-105.8545292,236878,Rocky_Mountain,73
37.82872269,-117.3473965,239511,Basin_and_Range,74
37.85258622,-117.872665,240651,Basin_and_Range,75
37.8657809,-118.055685,241237,Other,76
37.91146109,-117.6696548,243401,Basin_and_Range,77
37.93429934,-113.6081216,244454,Basin_and_Range,78
37.9975002,-119.021461,247488,Other,79
38.03176513,-119.0691714,249075,Other,80
38.04713537,-117.9949597,249765,Basin_and_Range,81
