lat,lon,spring_T
35.5000269,-112.0007423,
44.9799,-107.2107,
44.9799,-107.2107,
44.9799,-107.2107,
44.9799,-107.2107,
44.9799,-107.2107,
44.9799,-107.2107,
32.158474,-103.0327112,
32.1637994,-103.0326153,
31.6685127,-103.4693181,
35.7112518,-106.6975927,20.8
31.8817422,-103.5927746,
31.7765596,-103.0549636,
31.9398467,-104.5342106,
31.9285436,-103.16612,
42.8389,-113.7964,56.0
31.7445248,-103.7229171,
31.607422,-103.23478,
31.3234994,-103.9973155,
31.7725006,-103.0608607,
43.8948678,-117.143497,27.0
32.1839509,-103.0457523,
31.6726612,-103.4881179,
31.633238,-103.3606654,
43.9781664,-117.2372013,21.18
40.2498924,-118.6493174,22.0
35.0832,-104.5025,
35.0832,-104.5025,
35.0832,-104.5025,
35.0832,-104.5025,
35.0832,-104.5025,
35.0832,-104.5025,
31.6665624,-103.0260058,
43.4078579,-118.6430335,14.01
31.5848353,-103.2256943,
31.6928291,-103.5689782,
31.9904772,-103.147981,
40.5599121,-115.7225717,20.1
31.7533072,-103.0861836,
38.0538396,-117.1925141,
47.4699,-105.0807,
38.4940635,-112.8734973,
31.36734,-103.832085,
31.8198184,-103.142295,
31.5168612,-103.018547,
38.5165636,-112.7992954,9.08
39.2998971,-119.7710015,
32.1402972,-103.0540251,
31.2352147,-103.1251314,
31.446926,-103.425033,
31.9073968,-103.9893441,
37.2446,-104.7422,
31.6612077,-103.0246759,
31.235071,-103.124685,
31.9503874,-103.6546994,
31.9289577,-103.0920797,
31.5321558,-103.1980275,
31.3050111,-103.2402453,
31.7263592,-103.0514954,
43.357378,-116.3889656,27.43
35.7500536,-106.1542771,27.0
31.6978734,-103.0226911,
32.8167406,-119.9009257,
31.916299,-103.081229,
32.1496252,-103.0346045,
33.851,-103.6517,
39.3727063,-118.5569691,
31.1690321,-103.0698807,
43.1018505,-119.73076,
33.5490837,-103.0164568,
37.8957321,-118.4964478,
34.008987,-107.3381988,
34.008987,-107.3381988,
32.1669268,-108.91263,
38.7735789,-122.8175752,26.4
38.7735789,-122.8175752,26.4
36.9026,-108.9489,
31.7790428,-103.6737025,
31.4513085,-103.4002078,
