grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
27114,ALHAMBRA HOT SPRINGS (NORTH),,08N-03W-16-AAC2,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.98 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,SPRING,,,1976/06/29,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,,59.4,,30.0,,,,,,,,,,7.2,,,827.0,,,740.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,67.0,,100.0,,,,,,,,,,,,,,,,DISSOLVED GROSS ALPHA AS U-NAT. = .29; DISSOLVED GROSS BETA AS CS-137 = 81 PICOCURIES/L.; DISSOLVED,OXYGEN VALUE IN GAS ANALYSIS REPRESENTS O2+AR.,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27113,ALHAMBRA HOT SPRINGS (NORTH),,08N-03W-16-AAC2,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.98 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,SPRING,,,1974/08/29,"ROBERTSON, FOURNIER AND STRONG",L/MIN,,,,"ISOTOPIC SAMPLE DATED 8/23/74 FROM MARINER AND OTHERS, 1976B",,,,MG/L,CACO3,59.0,,16.0,,,,,,,,,,,,,,418.0,,,,,,,0.2,,,,,19.0,,,,,,,,,4.8,,,,,510.0,,,,10.0,0.38,3.2,,,220.0,,,,,,,,,,,,,65.0,,93.0,,,,,,,,-146.5,-19.23,,,,,,,,"ISOTOPIC SAMPLE DATED 8-23-74, FROM MARINER AND OTHERS, 1976.","LEONARD AND OTHERS, 1978",U.S. GEOLOGICAL SURVEY
27112,ALHAMBRA HOT SPRINGS (NORTH),,08N-03W-16-AAC2,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.98 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,SPRING,,,1973/07/29,KACZMAREK,,,,,,,,,MG/L,,50.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,21.0,,,13.0,,,,,,,,,,,,,,,10.0,,3.3,,,150.0,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27106,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1977/08/12,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,,54.4,,189.0,,,,,,,,,,,,,1460.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27068,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1964/08/05,MONTANA STATE BOARD OF HEALTH,,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS.",,,,,MG/L,CACO3,51.0,,,,,,,,,,,,,,,,582.0,,,,,,,,,,,,30.0,,,23.0,,,,,,7.8,,0.8,,,710.0,,,,,,5.0,,,,314.0,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS,1976",U.S. GEOLOGICAL SURVEY
27105,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1976/12/02,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,CACO3,54.4,,189.0,,,,,,,,,,6.8,,,1510.0,572.0,1000.0,1000.0,,,,,,,,,,27.0,,,20.0,,,,,,9.4,,,,,698.0,,,,16.0,,4.3,,,300.0,,,,,,,,,,,,,,,160.0,,,,0.0004,,,,,,,,,,,,"CO2 = 177. MG/L.   RADIATION DATA AS PICOCURIES/L:  DISSOLVED GROSS BETA AS CS-137 = 210., DISSOLVED",,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27111,ALHAMBRA HOT SPRINGS (NORTH),,08N-03W-16-AAC2,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.98 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,SPRING,,,1967/09/29,FOURNIER AND ROBERTSON,,,,,,,,,MG/L,CACO3,53.0,,,,,,,,,,,,8.5,,,,359.0,637.0,,,,,,0.25,,,,,9.0,,,49.0,,9.0,,,,,,,,,420.0,,,,11.0,0.33,0.3,,,200.0,,,,,,,,,,,,,64.0,,88.0,,,,,,,,,,,,,,,,CO2 = 2.2,,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27069,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1967/09/29,FOURNIER AND ROBERTSON,,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS.",,,,,MG/L,CACO3,54.0,,,,,,,,,,,,8.6,,,,543.0,,,,,,,0.46,,,,,6.8,,,22.0,,21.0,,,,,,,,,620.0,,,,17.0,0.7,4.5,,,330.0,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,DISSOLVED CO2 = 2.7,,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27070,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1973/07/29,KACZMAREK,L/MIN,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS.",,,,,MG/L,,54.0,,1893.0,,,,,,,,,,7.5,,,,,,,,,,,,,,,,26.0,,,20.0,,,,,,,,,,,,,,,15.0,,,,,270.0,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27073,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1976/12/02,U.S. GEOLOGICAL SURVEY,L/MIN,,,GRANITE BEDROCK; NUMEROUS SMALL CARBONATE MOUNDS.,ABNORMAL LEVELS OF RADIOACTIVITY REPORTED.,,,,MG/L,CACO3,54.4,,189.0,,,,,,,,,,6.8,,,1510.0,572.0,1000.0,,,,,,,,,,,27.0,,,20.0,,,,,,9.4,,,,,698.0,,,,16.0,,4.3,,,300.0,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,"CO2 = 177 MG/L.  RADIATION DATA IN PICOCURIES/L. IS DISSOLVED GROSS ALPHA AS U-NAT = .890, DISSOLVED",,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27071,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1976/04/08,U.S. GEOLOGICAL SURVEY,L/MIN,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS",,,,,MG/L,CACO3,55.0,,189.0,,,,,,,,,,6.7,,,1580.0,584.0,953.0,,,,0.036,,0.41,,0.01,,,27.0,,,20.0,,,,,,9.0,,0.12,,,712.0,,,,17.0,0.71,5.2,0.02,0.015,310.0,,,,0.01,,0.002,,,,,,,61.0,,150.0,1.9,,,,0.0007,,,-149.0,-18.35,,,,,,,"CO2 = 227.; NO2 + NO3 AS N = .00; P = .02; SECOND SAMPLE SAME DATE REPORTS: CA = 26, SIO2 = 58, SR =",,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
46000,ALHAMBRA HOT SPRINGS (NORTH),,,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.98 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,21,,SPRING,GALVANIZED PIPE FROM SPRI,,1974/08/23,,L/MIN,,,GRANITE BEDROCK,NUMEROUS SMALL CARBONATE MOUNDS.,,,,MG/L,HCO3,56.5,,40.0,5.8,,,,,,,,,7.2,,,929.0,484.0,660.0,,,0.001,,,0.24,,,,,18.0,,0.01,10.0,0.05,1.0,,0.1,0.01,8.4,,0.02,,,480.0,0.0001,0.5,,9.5,0.32,3.5,0.02,,220.0,,,,0.02,,0.1,0.02,0.05,,,,,66.0,,89.0,,,,,,,0.06,-146.5,-19.23,,,,,,,AMMONIA AS N: L 0.1,,"MARINER AND OTHERS, 1976B",MONTANA BUREAU OF MINES AND GEOLOGY
