grecord_,name,kgra,wellspring,api,waringno,country,state,county,latitude,longitude,t,r,sec,qsections,bmeridian,mreference,geoprovinc,localityin,sourcetype,pcollect,samplenum,cdate,collector,blank,deposits,treatment,lithology,sampleinfo,sampleinfa,adate,analyst,units,ameas,temp,dtemp,flow,amtemp,depth,gradient,whpressure,pressure1,pressure2,pressure3,steamflow,tflowenth,ph,phtemp,gravity,conductanc,alkalinity,tds,tss,ag,al,as,au,b,ba,be,bi,br,ca,camg,cd,cl,co,co3,cr,cs,cu,f,fe3,fetotal,ga,ge,hco3,hg,h2s,i,k,li,mg,mn,mo,na,nak,nb,nh4,ni,no3,pb,po4,rb,s,sb,sc,se,sio2,sn,so4,sr,ta,ti,u,v,w,zn,dwater,owater18,oso418,sh2s34,sh2s34rev,c13co2,tritium,c14ofc02,otheradata,qualifinfo,reference,rorganizat
27074,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1976/08/17,U.S. GEOLOGICAL SURVEY,L/MIN,,,GRANITE BEDROCK; NUMEROUS SMALL CARBONATE MOUNDS.,ABNORMAL LEVELS OF RADIOACTIVITY REPORTED.,,,,MG/L,,55.0,,189.0,,,,,,,,,,,,,1540.0,,1301.0,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIATION DATA IN PICOCURIES/L.:    DISSOLVED GROSS ALPHA AS U-NAT. = .310 MG/L.; SUSPENDED GROSS AL,,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27072,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1976/04/28,U.S. GEOLOGICAL SURVEY,L/MIN,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS.",ABNORMAL LEVELS OF RADIOACTIVITY REPORTED.,,,,MG/L,,55.5,,189.0,,,,,,,,,,,,,1570.0,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DISSOLVED GROSS ALPHA AS U-NAT.= .930, DISSOLVED    GROSS BETA AS CS-137 = 220, DISSOLVED GROSS BETA",,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27067,ALHAMBRA HOT SPRINGS (SOUTH),,08N-03W-16-ACD,,18,UNITED STATES,MONTANA,JEFFERSON,46-26.78 N,111-58.97 W,08N,003W,16,SE OF SW NE,,CLANCY 1:62500,,,SPRING,,,1959/01/12,MONTANA STATE BOARD OF HEALTH,,,,"GRANITE BEDROCK, NUMEROUS SMALL CARBONATE MOUNDS",,,,,MG/L,CACO3,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,25.0,,,16.0,,,,,,1.5,,0.2,,,610.0,,,,,,18.0,,,,248.0,,,,0.1,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,"LEONARD AND OTHERS, 1978; MARINER AND OTHERS, 1976",U.S. GEOLOGICAL SURVEY
27115,ALHAMBRA HOT WELL (NORTH),,08N-03W-16-AAC,,18,UNITED STATES,MONTANA,JEFFERSON,46-27.02 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,WELL,,,1976/04/29,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,,52.2,31.0,174.0,,,,,,,,,,6.8,,,1040.0,,,720.0,,,0.025,,0.41,,,,,,,,,,,,,1.0,,,0.12,,,,,,,,0.36,,0.02,0.023,,,,,0.002,,0.002,,,,,,,,,,1.0,,,,0.001,,,-147.3,-19.93,,,,,,,DISSOLVED GROSS ALPHA AS U-NAT.= .41; DISSOLVED GROSS BETA AS CS-137= 110. PICOCURIES/L.; DISSOLVED,O2 = O2 + AR.,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27117,ALHAMBRA HOT WELL (COLLECTION DATE),,08N-03W-16-AAC,,,UNITED STATES,MONTANA,JEFFERSON,46-27.01 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,WELL,,,1976/06/29,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,,54.0,31.0,151.0,,,,,,,,,,6.8,,,1080.0,,,660.0,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,61.0,,90.0,,,,,,,,,,,,,,,,DISSOLVED GROSS ALPHA AS U-NAT. = .24; DISSOLVED GROSS BETA AS CS-137 = 69 PICOCURIES/L.; DISSOLVED,,"LEONARD AND OTHERS, 1978",U.S. GEOLOGICAL SURVEY
27118,ALHAMBRA HOT WELL (NORTH),,08N-03W-16-AAC,,,UNITED STATES,MONTANA,JEFFERSON,46-27.01 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,WELL,,,1976/12/02,U.S. GEOLOGICAL SURVEY,,,,,,,,,MG/L,CACO3,52.2,31.0,,,,,,,,,,,7.0,,,1000.0,378.0,,680.0,,,,,,,,,,18.0,,,10.0,,,,,,8.1,,,,,461.0,,,,9.6,,3.3,,,190.0,,,,,,,,,,,,,,,86.0,,,,0.0008,,,,,,,,,,,,CO2 = 74.; DISSOLVED GROSS ALPHA AS U-NAT. = .36; DISSOLVED GROSS BETA AS CS-137 = 90 PICOCURIES/L.;,O2 = O2 + AR.,"LEONARD AND OTHERS, 1978.",U.S. GEOLOGICAL SURVEY
27116,ALHAMBRA HOT WELL (NORTH),,08N-03W-16-AAC,,,UNITED STATES,MONTANA,JEFFERSON,47-27.01 N,111-58.83 W,08N,003W,16,SW OF NE NE,,CLANCY 1:62500,,,WELL,,,1976/04/29,U.S. GEOLOGICAL SURVEY,L/MIN,,,,,,,,MG/L,CACO3,52.0,31.0,174.0,,,,,,,,,,6.8,,,1040.0,380.0,613.0,,,,,,,,,,,17.0,,,8.7,,,,,,7.4,,,,,463.0,,,,9.9,,3.9,,,190.0,,,,,,,,,,,,,58.0,,88.0,,,,,,,,,,,,,,,,CO2 = 117.; NO2 + NO3 = .02; P = .02,,"LEONARD AND OTHERS, 1978",U.S. GEOLOGICAL SURVEY
46002,ANACONDA HOT SPRINGS,,,,16,UNITED STATES,MONTANA,DEER LODGE,46-06.32 N,112-54.14 W,04N,011W,13,NE OF NE NE,,ANACONDA 1:62500,,ELEVATION 5490 FEET,SPRING,,78M1059,1978/06/23,"SONDEREGGER, J.L.",L/MIN,,,TERTIARY VOLCANICS ON MADISON GROUP.,CHEMICAL DATA NOT VERIFIED. INACTIVE GEYSER.,,,,MG/L,,21.7,,12.0,4.6,,,,,,,,,7.0,22.0,,2624.0,,2300.0,,,,,,,,,,,470.0,,,7.0,,,,,,2.5,,1.2,,,439.0,,,,11.0,0.25,67.0,0.48,,147.0,,,,,0.01,,0.79,,,,,,23.0,,1362.0,,,,,,,,,,,,,,,,,,"*SONDEREGGER, JOHN L., M.B.M.G.",MONTANA BUREAU OF MINES AND GEOLOGY
46004,ANDERSON'S PASTURE,,,,,UNITED STATES,MONTANA,BEAVERHEAD,44-42.15 N,111-53.30 W,13S,002W,18,SE OF SW NE,,LOWER RED ROCK LAKE 1:62500,,ELEVATION 6840 FEET,SPRING,,78M0438,1977/10/03,"SONDEREGGER, J.L.",L/MIN,,,DISCHARGE-PERMIAN; SOURCE-MADISON GROUP . PLEISTOCENE VOLCANICS.,TWO SPRINGS. CHEMICAL DATA NOT VERIFIED.,,,,MG/L,,25.7,,3407.0,3.9,,,,,,,,,7.4,,,609.0,,394.0,,,0.051,0.0136,,0.2,,,,0.1,67.0,,,9.7,,,,,,1.7,,0.01,,,246.0,0.0003,0.1,0.01,7.3,0.05,24.0,,,28.0,,,0.04,,0.16,,,,,0.2,,0.002,21.0,,114.0,0.54,,,0.0024,,,,,,,,,,,,,TWO SPRINGS HAVE COMBINED FLOW OF 6796 L/MIN. TEMPERATURE RANGE IS 23.5- 28.0 C.,"*SONDREGGER, JOHN L., M.B.M.G.",MONTANA BUREAU OF MINES AND GEOLOGY
46003,ANDERSONS HOT SPRINGS,,,,,UNITED STATES,MONTANA,SWEET GRASS,45-33.18 N,110-08.52 W,03S,013E,29,NE OF NW NE,,MCLEOD BASIN 1:24000,,ELEVATION 5540 FEET.,SPRING,,MBMG W.Q. PRINT,1972/07/25,"HANSEN, M.",L/MIN,,,AQUIFER IS PROBABLY PART OF MADISON GROUP.,,,,,MG/L,CACO3,25.0,,37.8,4.6,,,,,,,,,7.8,,,414.0,72.0,313.0,,,,,,,,,,,47.0,,,0.5,,,,,,0.4,0.01,,,,88.0,,,,1.3,0.01,23.0,0.01,,1.6,,,,,0.3,,,,,,,,12.0,,139.0,,,,,,,,,,,,,,,,,1978/05/22:  FLOW = 284 L/MIN; TEMP. = 24.6 C; SPECIFIC CONDUCTANCE = 519 UMHOS/CM; PH = 7.45.,"SONDEREGGER AND OTHERS, 1977",MONTANA BUREAU OF MINES AND GEOLOGY
