cluster_id,n_cells,area_km2,lat_centroid,lon_centroid,score_mean,score_max,uncertainty_mean,T_est_C,T_source,HF_mW_m2,P10_MWe,P50_MWe,P90_MWe,P_th_MW,P_th_50pct_MW,P_th_10pct_MW,T_at_4km,MWe_4km_estimate
5.0,5403.0,86448.0,27.165942464590835,-101.1502860973003,0.8080195188522339,0.9196217060089112,0.0743463113903999,78.05217107137045,heat_flow_proxy,75.66260528564453,0.0,0.0,929.5053337236008,388627.5157410616,194313.7578705308,77725.50314821232,78.05217107137045,31397.05497508268
34.0,4.0,64.0,32.69852676967321,-94.98012285065263,0.7587212324142456,0.8241959810256958,0.0781323015689849,80.64159393310547,heat_flow_proxy,78.76991271972656,0.0,0.0,1.1620416554305475,299.528149363931,149.7640746819655,59.9056298727862,80.64159393310547,25.008161500043116
46.0,34.0,544.0,34.07188603073305,-97.71737487332815,0.7581561803817749,0.8543717861175537,0.0904035791754722,80.76266606648763,heat_flow_proxy,78.91519927978516,0.0,0.0,10.343414604498951,2550.685199932215,1275.3425999661074,510.13703998644297,80.76266606648763,213.2812521481301
31.0,117.0,1872.0,32.482241079079216,-94.5441397903646,0.7560900449752808,0.888307511806488,0.0968368723988533,84.30391947428386,heat_flow_proxy,83.16470336914062,0.0,0.0,56.91125831778956,9250.009786095383,4625.004893047691,1850.0019572190768,84.30391947428386,807.0351289828434
15.0,53.0,848.0,29.910541766384977,-97.99142341092389,0.7468438744544983,0.8497753739356995,0.1001166030764579,77.82271703084311,heat_flow_proxy,75.38726043701172,0.0,0.0,11.259581467488616,3798.3162247714868,1899.1581123857434,759.6632449542974,77.82271703084311,305.94755720764294
2.0,58.0,928.0,25.690770317320705,-99.22142268274207,0.7463803887367249,0.8714985847473145,0.0880413874983787,74.46828206380208,heat_flow_proxy,71.3619384765625,0.0,0.0,6.622924863252684,3934.7026690628795,1967.3513345314398,786.940533812576,74.46828206380208,302.90554066179925
22.0,467.0,7472.0,40.21881475246277,-102.99913291074184,0.7362356781959534,0.8627249002456665,0.1150774881243705,56.68982823689779,heat_flow_proxy,50.027793884277344,0.0,0.0,0.0,22209.844611717162,11104.922305858581,4441.9689223434325,56.68982823689779,1263.2376004772439
54.0,8.0,128.0,41.268415379087735,-78.14737929665785,0.7356392741203308,0.796661913394928,0.1111636310815811,76.98528289794922,heat_flow_proxy,74.38233947753906,0.0,0.0,1.167244800049991,565.6881852425208,282.8440926212604,113.13763704850417,76.98528289794922,45.06530692031762
52.0,70.0,1120.0,41.2892048662804,-76.98802418480571,0.7331609725952148,0.8815257549285889,0.0990951135754585,79.97505187988281,heat_flow_proxy,77.97006225585938,0.0,0.0,17.067859298783013,5188.516577220851,2594.2582886104256,1037.7033154441704,79.97505187988281,429.60945250254866
14.0,31.0,496.0,29.74771944872684,-102.07838356968097,0.724079430103302,0.8909334540367126,0.0970783829689025,81.25809987386067,heat_flow_proxy,79.50971984863281,0.0,0.0,8.874779918770454,2343.145215708055,1171.5726078540274,468.62904314161096,81.25809987386067,197.1274285194665
19.0,5.0,80.0,30.052102048149607,-96.54810444198368,0.723138153553009,0.7796915769577026,0.1060713976621627,74.73681131998698,heat_flow_proxy,71.68417358398438,0.0,0.0,0.6336954253036976,340.7301581108087,170.36507905540435,68.14603162216174,74.73681131998698,26.328563276053096
37.0,43.0,688.0,33.254435150289765,-91.28107582469224,0.7208276987075806,0.8761550188064575,0.0983817651867866,80.52234013875325,heat_flow_proxy,78.6268081665039,0.0,0.0,13.804537370551817,3214.07783021491,1607.038915107455,642.815566042982,80.52234013875325,267.95212578262715
56.0,18.0,288.0,41.86429512516512,-77.56685367161937,0.7196605205535889,0.8330050706863403,0.1039214953780174,75.56297302246094,heat_flow_proxy,72.67556762695312,0.0,0.0,1.9918693975669488,1243.5928752045368,621.7964376022684,248.71857504090735,75.56297302246094,97.19184375222149
32.0,11.0,176.0,32.467415803743705,-92.63132037557286,0.7175471782684326,0.7977222204208374,0.0931259617209434,76.67902628580728,heat_flow_proxy,74.01483154296875,0.0,0.0,1.5140407079604965,773.9781988864705,386.98909944323526,154.79563977729413,76.67902628580728,61.40771102178754
11.0,5.0,80.0,28.97412863816036,-98.8697070277134,0.7143486738204956,0.774591863155365,0.0933202654123306,76.66758219401041,heat_flow_proxy,74.0010986328125,0.0,0.0,0.7310145533275836,351.742996771677,175.8714983858385,70.3485993543354,76.66758219401041,27.90315173080613
38.0,5.0,80.0,33.14947897951871,-90.6001226235056,0.7121332883834839,0.8175854086875916,0.1237111836671829,78.12206268310547,heat_flow_proxy,75.74647521972656,0.0,0.0,0.7794124749818497,360.0391437548795,180.01957187743974,72.0078287509759,78.12206268310547,29.113861068525193
40.0,3.0,48.0,33.22853036291792,-92.15685614029336,0.7116497159004211,0.771300196647644,0.1105090379714965,82.55746841430664,heat_flow_proxy,81.06896209716797,0.0,0.0,1.0411425438349116,231.2028350934519,115.60141754672595,46.240567018690385,82.55746841430664,19.75995959387372
41.0,12.0,192.0,33.32135585100033,-92.40806313842624,0.7111916542053223,0.8284011483192444,0.1154940724372863,83.83317947387695,heat_flow_proxy,82.59981536865234,0.0,0.0,5.0149136993260415,942.2748730167962,471.1374365083981,188.45497460335923,83.83317947387695,81.75987169663325
42.0,70.0,1120.0,33.51804322160076,-94.02982123852604,0.710346519947052,0.8628008961677551,0.1003066673874855,70.54658889770508,heat_flow_proxy,66.6559066772461,0.0,0.0,2.4575112624729525,4435.6162706358145,2217.8081353179073,887.1232541271629,70.54658889770508,322.5883312587657
44.0,29.0,464.0,33.61139678094859,-89.65590494529448,0.7077025771141052,0.8493903279304504,0.1045370772480964,75.51722208658853,heat_flow_proxy,72.62066650390625,0.0,0.0,4.368457211917132,2002.05274984151,1001.026374920755,400.410549968302,75.51722208658853,156.37088446332604
33.0,4.0,64.0,32.5997125404242,-93.48412893639852,0.7058840990066528,0.8300464749336243,0.1010006740689277,77.47921625773111,heat_flow_proxy,74.97505950927734,0.0,0.0,0.6769390708363924,285.09795235104315,142.54897617552157,57.019590470208634,77.47921625773111,22.860940010537334
50.0,3.0,48.0,38.96574440052736,-80.38387145167688,0.6983442902565002,0.76038658618927,0.1125092506408691,79.8266092936198,heat_flow_proxy,77.79193115234375,0.0,0.0,0.7545445655467422,221.8569791020527,110.92848955102635,44.37139582041054,79.8266092936198,18.335509764916257
51.0,7.0,112.0,40.58954879113022,-79.21192920878822,0.6979964971542358,0.7999366521835327,0.1221567466855049,83.02916208902995,heat_flow_proxy,81.63499450683594,0.0,0.0,2.725767158110419,543.2399436723815,271.61997183619076,108.64798873447631,83.02916208902995,46.69074710619623
27.0,4.0,64.0,31.97089471793047,-96.46486869036352,0.6966707110404968,0.7404886484146118,0.1322082579135894,81.77963256835938,heat_flow_proxy,80.13555908203125,0.0,0.0,1.5100338900424126,304.7211159861254,152.3605579930627,60.944223197225085,81.77963256835938,25.79982912769219
36.0,27.0,432.0,33.00361986132758,-95.99286615489989,0.6952786445617676,0.8257008790969849,0.1053094565868377,77.93779373168945,heat_flow_proxy,75.52535247802734,0.0,0.0,5.2597795272603065,1938.535741222468,969.267870611234,387.7071482444936,77.93779373168945,156.3803246948364
45.0,155.0,2480.0,34.13912811656046,-91.40592017014048,0.6946847438812256,0.908126950263977,0.1067470833659172,74.87276713053384,heat_flow_proxy,71.84732055664062,0.0,0.0,15.32174485213296,10586.674543957046,5293.337271978523,2117.3349087914094,74.87276713053384,819.584526602845
1.0,35.0,560.0,25.587238848108427,-98.6100371925432,0.6924161911010742,0.8588352203369141,0.1032652929425239,75.31488418579102,heat_flow_proxy,72.37786102294922,0.0,0.0,4.230193792206285,2408.191816681138,1204.095908340569,481.6383633362276,75.31488418579102,187.57245765769136
21.0,3.0,48.0,30.47370942627873,-96.01119635045188,0.689351499080658,0.71091228723526,0.1081462800502777,75.94532012939453,heat_flow_proxy,73.13438415527344,0.0,0.0,0.4477760101891684,208.57399086035088,104.28699543017544,41.714798172070175,75.94532012939453,16.385850969076394
47.0,3.0,48.0,34.03102167924326,-88.85742094093587,0.6885697841644287,0.8126882910728455,0.10299863666296,78.81542841593425,heat_flow_proxy,76.5785140991211,0.0,0.0,0.7727651163610821,218.39640114967233,109.19820057483616,43.67928022993447,78.81542841593425,17.819014171265483
8.0,16.0,256.0,26.165558749550875,-98.49795816405852,0.6855705976486206,0.816164493560791,0.102194607257843,73.96992365519205,heat_flow_proxy,70.76390838623047,0.0,0.0,1.3972847554537111,1076.3390126432498,538.1695063216249,215.26780252864998,73.96992365519205,82.28347405254891
0.0,4.0,64.0,25.42220625224579,-98.1070875736801,0.6847888827323914,0.7853809595108032,0.0869102776050567,73.42892964680989,heat_flow_proxy,70.11471557617188,0.0,0.0,0.3594841814244284,266.61615170800775,133.30807585400387,53.32323034160155,73.42892964680989,20.22668652715424
