discovery_id,lat,lon,area_km2,p_mean,p_std,n_cells,province,plausibility
35,39.036889333333335,-117.666952,48.0,0.9996561408042908,0.00015062377497088164,3,Basin_and_Range,plausible
42,39.875314,-112.81994999999999,48.0,0.9996328949928284,0.00014088717580307275,3,Rocky_Mountain,implausible
55,41.049108,-115.634342,48.0,0.9995766282081604,0.00019917117606382817,3,Basin_and_Range,plausible
76,42.27560079999999,-120.7033676,80.0,0.9995671510696411,0.00021689692221116275,5,Cascades,plausible
102,43.99556833333333,-114.30532333333333,48.0,0.9995644688606262,0.00020639707508962601,3,Snake_River_Plain,plausible
88,42.7588935,-112.07726475000001,64.0,0.9995620250701904,0.00020545622101053596,4,Snake_River_Plain,plausible
29,38.354173333333335,-112.17889600000001,48.0,0.9995619654655457,0.0002124685561284423,3,Rocky_Mountain,plausible
93,43.12121266666667,-121.935445,48.0,0.999559223651886,0.00021993904374539852,3,Cascades,plausible
2,32.482213,-108.92280600000001,64.0,0.9995584487915039,0.0002581599692348391,4,Rocky_Mountain,implausible
72,41.875553999999994,-112.30398133333334,48.0,0.9995565414428711,0.00020513107301667333,3,Rocky_Mountain,implausible
45,40.53315484615385,-116.77512926923077,832.0,0.9995565414428711,0.000241994988755323,52,Basin_and_Range,plausible
31,38.66901071428572,-122.14540657142858,112.0,0.9995552897453308,0.00022538825578521937,7,Other,plausible
39,39.5040115,-117.23306841666668,192.0,0.9995545744895935,0.0002953543735202402,12,Basin_and_Range,plausible
63,41.618037900000004,-119.6854986,160.0,0.9995519518852234,0.00026739598251879215,10,Other,implausible
44,40.054976,-120.63769766666667,48.0,0.9995514750480652,0.0003102405753452331,3,Other,plausible
47,40.4232855,-116.017411,64.0,0.9995511770248413,0.00022923873621039093,4,Basin_and_Range,plausible
18,37.8954369,-118.50814290000001,160.0,0.9995492696762085,0.0002360810321988538,10,Other,plausible
46,40.216673,-112.499424,64.0,0.9995481967926025,0.00018391078629065305,4,Rocky_Mountain,implausible
14,37.372021,-118.76143833333333,48.0,0.9995479583740234,0.0001969093718798831,3,Other,plausible
