cohort,n,mean_p,median_p,mean_percentile,median_percentile,frac_above_50pct,frac_above_90pct
NC1_colorado_plateau,100,0.9225029945373535,0.9537490606307983,43.16629294602286,42.85089395676732,0.23,0.0
NC3_random_deep,100,0.00034635793417692184,0.00031520245829597116,5.297192848345861,5.373508302543849,0.0,0.0
random_western_us,100,0.8022267818450928,0.9825891256332397,53.273491315241856,56.890899052957906,0.56,0.1
known_positives,1370,0.9936766028404236,0.9949514269828796,88.48934093298107,92.85514078226527,0.9883211678832117,0.5795620437956205
temporal_holdout_post2008,22,0.9999452179128473,0.9999457597732544,95.72927645675765,96.16872637703317,1.0,1.0
