discovery_id,lat,lon,area_km2,T_central_original,T-40_P10,T-40_P50,T-40_P90,T-20_P10,T-20_P50,T-20_P90,T+0_P10,T+0_P50,T+0_P90,T+20_P10,T+20_P50,T+20_P90,T+40_P10,T+40_P50,T+40_P90
45,40.53315484615385,-116.77512926923076,832.0,218.71716022491452,176.36127082140214,522.8733724744661,1410.1990764152047,299.65747638015205,810.5040740066007,2123.4526861103805,480.7422082741135,1257.9712751550592,3245.2837109291345,722.357312807238,1898.4447852544317,4499.466101662519,1026.2968616171675,2398.8199758348255,5622.514322700353
49,40.74026035714287,-114.78108967857142,448.0,231.3138771057129,142.6373809768674,376.94394501612555,983.7532223871315,204.54089906822932,541.7041900579707,1503.4137227119977,335.4036707874482,859.2282543370832,2126.713809877245,492.62782291805564,1193.5033022071225,2729.523096367954,638.2395203281201,1437.6650942598153,3324.133178512351
43,40.186025117647056,-115.27932270588236,272.0,216.8998330831528,56.16234219925497,167.9180867922314,462.72951570305463,99.28292089733996,256.57324707933174,678.1177049550558,143.397593791254,392.4255167912072,1017.3696754825418,211.97968687000503,593.3428624353783,1437.0612140484068,325.01242175771966,762.3586126085806,1824.0860777274058
20,38.12959716666666,-112.68509566666668,384.0,199.48737263679504,34.129305313271374,135.31765285275696,429.52077768878456,79.51107161392413,243.88733279858081,656.6500377130343,151.30584543608265,377.93739951499015,992.8829793898491,222.72286749685847,591.2501965512417,1599.2614426209752,335.90742945301037,855.9082552404763,2111.3004600877493
75,42.42395199999999,-118.02433628571428,224.0,222.6759624481201,54.47881153713035,157.67040460870402,418.1023189464247,93.05589632418327,238.01550907446932,605.7113561578943,140.51310511883915,379.9139556633957,953.7514242577145,203.29026792042876,516.3578817820903,1218.070055320666,280.0343493129609,664.1903093107155,1489.013872415599
22,38.00356127272727,-114.60381890909092,176.0,232.5734770298004,61.25468283856644,152.46202423355726,393.52966058249103,90.57273465882976,231.29709352424157,630.3527798952455,130.0350081018848,356.6604504193803,870.5818424234416,207.28379359501238,486.3508073383,1123.6135830657843,254.5216664021414,602.0768538812092,1391.3689114796337
33,39.05884872222222,-123.30615422222225,288.0,203.43878149986267,33.893619191015475,120.84380727735739,352.5709889550852,72.53825394102493,203.96635575612896,507.5958918586608,119.92483223605844,309.49828401677473,823.7854734952267,179.28087418639794,489.2233762569157,1217.5099583342774,269.68182007454317,676.0765369600371,1614.9604230930966
54,41.11360276923077,-116.15993246153845,208.0,216.2095469236374,43.814085268848984,128.1918464963749,327.7219881933934,71.94663742011652,197.28845526206885,488.98633125112195,108.97079185623458,288.3555859117396,777.3331258301744,170.56454027547565,448.97730094654275,1081.9905007154307,252.79219255172464,585.4423023917146,1317.643267032653
70,41.901006375,-120.737374125,256.0,195.8647346496582,20.96393989263397,86.82886607914497,261.44388689743664,51.82758266571038,157.57110780756813,399.0357822276259,87.41688295129718,237.84512423531783,641.4899549580775,136.2365580511904,354.5069875845537,905.3462733626791,208.6333113359343,524.0853445746693,1352.3024150828717
40,39.92431254545455,-118.49279190909093,176.0,213.74391555786133,31.76071678372741,104.40353087057842,268.6570073701564,61.13779919284752,155.62095988614163,407.58754584224147,92.59695901630545,236.6527732928136,623.1873634140545,136.85295563918044,358.07197379567276,853.0716198929762,208.11090098584543,464.0829802088092,1104.5889469820354
18,37.8954369,-118.5081429,160.0,215.8303660154343,30.021745775092985,95.7597115016504,257.77417212624863,57.58061682026481,147.73020159976784,382.8196824313858,82.87608826581837,217.49433320447355,629.7449352393608,128.26914321468303,339.9820732238468,833.6712981078346,190.01890945678824,447.507994258807,1036.2354338795087
39,39.5040115,-117.23306841666668,192.0,200.5433088541031,17.998185631762524,76.71611849717664,222.96662853381278,47.83877582853196,137.59674549124526,360.09643091059576,72.91095936427763,190.53974929811477,518.005915215915,107.47996842282384,297.98520285944176,766.1205568594761,171.694692719621,441.0004810089232,1064.4070580366376
38,39.163197454545454,-118.0151980909091,176.0,205.3598117828369,20.50356909873722,81.7231232866404,238.53457722284273,44.98865076799244,127.28130438924816,336.35804354835335,74.62422880778259,200.9287088754711,519.9930589091765,112.31649788527616,304.540578563567,800.8169469116261,172.9817204673607,419.94872750284384,1019.7518979824679
90,42.96550500000001,-118.226706,80.0,238.3064103126526,30.41245109682188,78.67309905042339,202.7136387533379,44.14374840282496,118.89308682735097,328.7023881637364,68.63006452249095,172.20089978421043,423.95461685463283,93.74263019648986,224.58705971006714,519.4415499710104,126.1464276428492,281.58593088083865,625.8350715086698
77,42.27080966666666,-118.98033516666668,96.0,220.12805700302124,22.170452304137164,63.60593138160509,162.64139782965276,34.92674951061998,92.95467070378514,247.1000790258379,54.67307117273186,143.84939824201376,402.08688987817584,87.43349721077948,214.96001876756878,534.9809964166645,117.38782139485934,275.14961566169916,626.8480335133064
26,38.34219744444445,-122.37323866666668,144.0,197.8701001405716,12.971064831222206,55.62012874815544,163.55111518688167,30.636505123263742,92.32372015009051,229.10471587235813,52.693766237253044,136.1273075192948,356.9344207152848,79.32300680413992,211.4460555506178,552.3660477501027,119.82592922777958,322.66074409026635,769.6402101027468
96,43.56198260000001,-121.688401,80.0,221.46535396575928,18.319339757597945,54.65866588464159,143.33728938010913,30.876511394747283,78.16397015226673,210.38993037123558,46.53188270700093,130.87461147770333,345.10843160917227,75.6659765915073,191.13296629570507,462.86690353995255,99.43837756538443,228.7690089681593,546.2321141982557
17,37.683435,-115.187165,80.0,216.170506477356,15.648701359704395,50.11796672114592,125.88478768100795,27.244112422562946,73.78230204572878,185.70977587779146,41.864186214433246,114.84316735038706,298.98509807106603,65.88209549734312,174.20627375921737,421.65817137293266,92.54264943494664,221.45484834225496,530.8038794688226
41,39.93691242857143,-119.91399814285715,112.0,188.9348530769348,6.50184558886324,26.927580319100876,95.2097423021207,16.46531807419207,56.96335842752686,151.72116275610284,32.374372597282274,89.53744824040356,230.97345494561765,51.53650459100346,133.257090915567,356.91115163291863,78.69455045720458,204.54329552927913,515.3937754694059
32,38.85124016666667,-116.75227866666668,96.0,194.96258199214932,6.816428087270408,29.40879255212294,93.63423682523384,18.180628119195188,57.30299052649794,151.5681897873231,32.68705393182038,86.31426994790993,232.68862943511925,48.723894018185995,128.4628806607393,343.8464391655856,75.62596950912456,198.01052973930587,487.98483842280433
35,39.036889333333335,-117.666952,48.0,208.1533378362656,6.849891296757769,23.410612775637368,67.67227593073953,13.497067398610115,37.844917130832094,98.53408232432714,21.471952758139125,54.496562971765655,149.52715446090812,32.40954338960917,87.17402815165008,212.2667353238665,48.685353512821216,123.40301308911582,289.18404108193494
16,37.57563825,-118.245465,64.0,193.28665494918823,4.45560032400521,19.013554960278533,59.85824788491984,11.466369054697484,35.96854481790483,92.75701091631518,20.838885986041685,55.45334610014919,151.17827019750035,31.645007389742084,88.20743835700736,222.21211828585302,50.13635484314365,132.35159765954484,330.9863827212877
93,43.12121266666667,-121.935445,48.0,202.0095807313919,5.007114908601243,20.206064848507562,57.247498869969064,10.938925971759074,33.414946289157385,90.1031258940989,19.281352823831735,51.337536927072364,137.37174857647096,28.617045309775417,76.19710204204281,196.93289130306562,44.09449370118794,111.51025267765212,275.9377005527139
87,42.67804575,-120.9894965,64.0,185.37789583206177,2.840969785645856,12.646450936568908,50.97480337676274,7.985887411036418,29.35557033811906,80.04919520131473,17.45006541534776,48.83960823461978,126.27604421472827,26.8818068697006,72.99311083059347,190.40346368243195,41.979547249007915,112.08347016431193,288.64934901964403
34,38.953048333333335,-118.917792,48.0,198.61237347126007,4.108723338899629,17.662620546298136,52.2814231668895,10.633046620773392,30.937117627522305,81.56518092158159,18.159660064989673,46.66671936743075,121.23432747479836,27.33639478633763,72.00777396550254,198.6507674306075,40.39679231627364,106.74516529441637,257.55096515083244
80,42.43849566666666,-120.18426666666666,48.0,197.71344602108,4.071711682160118,17.140099872048708,53.74888471746109,9.66116943976746,30.526204287858057,77.72120003310758,16.653716755063403,46.48309716253118,125.35690018706273,27.171025796375307,73.51715611497984,190.6395932554023,40.65348252315009,106.6190977542677,246.62526852337345
84,42.58821425,-121.82208649999998,64.0,178.30185890197754,1.777576089436826,9.196134237661003,38.945229573909344,6.056594747300661,23.211648672551135,71.19772218126066,13.797181797926786,41.47095205554734,103.39303926501829,23.8550102021604,59.56865742333741,163.14981131065738,36.78575481421241,91.86382443722388,244.32063282937267
102,43.99556833333333,-114.30532333333332,48.0,188.6099207401276,2.2409810470961893,11.185078505289113,42.493141507547286,6.7472330501616415,24.99912995160343,67.30409937241038,13.821836842160176,37.43623489079738,99.43359648961759,21.600013080074383,56.32083345063327,154.41675183317764,31.322678330101716,86.02193125493423,215.28938629909038
15,37.66383618181819,-117.12610795454545,352.0,113.60290050506592,0.0,0.0,1.2946936872512753,0.0,0.24858189017263335,19.703512217136744,0.0,11.893445135927168,68.95763681329221,6.4465625849414545,42.76588716268544,182.14304041739706,26.43097000684776,104.75932992884509,324.9836796047466
7,34.928614333333336,-116.41611333333331,48.0,131.5701961517334,0.0,0.006300469906279336,2.215084707930484,0.0,1.3903099342890795,8.365133934780406,0.7024153816560118,4.9225351871233265,22.271362093226358,3.128764929866622,12.750352177415143,44.2115735706562,8.180391085552206,26.98048797974458,73.22039594166034
8,35.141215249999995,-116.9086325,64.0,91.73014491796494,0.0,0.0,0.0,0.0,0.0,0.18456178128031614,0.0,0.021346126454228773,4.145774233680629,0.0,2.031425467240158,10.855857565420452,0.9523050329690174,6.813752150204754,30.714295035437456
24,38.39489830000001,-117.5934662,160.0,71.77367925643921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604111313086324,0.0,0.08642675673085884,8.953300565202515,0.0,4.814529087420298,30.042072329848935
6,34.02551040000001,-117.785785,80.0,68.8983342051506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492472707544744,0.0,0.0,3.492788853431188,0.0,1.9702461151570398,12.972082247300348
