config,loss,embed_dim,neg_pos_ratio,pos_pct,nc3_pct,holdout_pct,gap
cpu_calibrated,BCE,64,5,85.63381855639552,5.30693081921264,96.2265604188142,80.32688773718289
cpu_tuned,focal,128,10,89.1008022780344,5.117908863124814,98.48029279931434,83.98289341490958
cpu_margin,BCE+focal+margin,128,10,89.24469185561166,5.197299018983312,98.56217931641552,84.04739283662835
cpu_max,BCE+focal+margin,128,80,88.48934093298107,5.297192848345861,95.72927645675765,83.1921480846352
