discovery_id,lat,lon,province,structural_setting,system_type,T_res_central,area_km2,n_cells,p_mean,p_std,dist_to_max_km,dist_to_nearest_qfault_km,dist_to_nearest_volc_km,mwe_p10,mwe_p50,mwe_p90
45,40.53315484615385,-116.77512926923076,Basin_and_Range,other,flash-plant grade (>=200 deg C),218.71716022491452,832.0,52,0.9995565414428712,0.0002419949887553,10.3,0.47939846013669535,349.30879338635964,480.7341235292703,1298.1695374508158,3331.390937017032
49,40.74026035714287,-114.78108967857142,Basin_and_Range,Eastern Nevada extension,flash-plant grade (>=200 deg C),231.3138771057129,448.0,28,0.9995258450508118,0.0002663587220013,18.1,3.442678351859047,316.2561912784067,335.250867510475,873.1978140681106,2162.398483177418
43,40.186025117647056,-115.27932270588236,Basin_and_Range,Eastern Nevada extension,flash-plant grade (>=200 deg C),216.8998330831528,272.0,17,0.9994982481002808,0.0003206538094673,17.3,2.668860696152831,388.8306749078311,144.092531290494,391.021873583294,1042.3438273209613
20,38.12959716666666,-112.68509566666668,Rocky_Mountain,other,binary-cycle grade (180-200 deg C),199.48737263679504,384.0,24,0.9995169639587402,0.0002669226087164,11.8,3.388124518384769,320.6910974892552,143.0912935797984,380.2193684908343,1008.3945992310609
75,42.42395199999999,-118.02433628571428,Other,other,flash-plant grade (>=200 deg C),222.6759624481201,224.0,14,0.999499499797821,0.0003147941606584,8.9,13.525976999480266,304.02096296551053,137.96749199661713,366.0634247503775,936.1464304576853
22,38.00356127272727,-114.60381890909092,Basin_and_Range,Eastern Nevada extension,flash-plant grade (>=200 deg C),232.5734770298004,176.0,11,0.9994949102401732,0.0002458324888721,21.9,3.4971487565138446,345.08157393839895,134.68287098012627,347.0207005696228,833.1121921371823
33,39.05884872222222,-123.30615422222225,Other,other,flash-plant grade (>=200 deg C),203.43878149986267,288.0,18,0.999508023262024,0.0003005181788466,8.6,11.262665323798084,219.28869639212652,115.10978340236336,304.6121071347632,788.1311938038268
54,41.11360276923077,-116.15993246153845,Basin_and_Range,Eastern Nevada extension,flash-plant grade (>=200 deg C),216.2095469236374,208.0,13,0.999487578868866,0.0003082323237322,23.9,0.06286154594322949,338.87249590396607,109.74587772465524,293.0107691130539,766.0513702234723
70,41.901006375,-120.737374125,Cascades,Cascades arc,binary-cycle grade (180-200 deg C),195.8647346496582,256.0,16,0.9995396137237548,0.0002667405642569,13.8,7.018551880812832,133.89711209157952,91.05335418215216,231.30421539597128,599.5462817767453
40,39.92431254545455,-118.49279190909093,Other,Walker Lane,flash-plant grade (>=200 deg C),213.74391555786133,176.0,11,0.9995133876800536,0.0003518354787956,5.0,1.4160241396108064,231.51081152781106,89.51784763760693,222.661168278449,628.2276979552379
18,37.8954369,-118.5081429,Other,Walker Lane,flash-plant grade (>=200 deg C),215.8303660154343,160.0,10,0.9995492696762084,0.0002360810321988,3.8,1.1835964923843916,38.49639524132071,85.60179359764737,221.9580376599293,611.9329410290637
