# GeoProspectNet — pre-registered candidate discoveries
# frozen: 2026-05-12T22:18:36+00:00
# sha256: cbf06622a2580a6d0ca084c84e5237b1a463c3cb22f9d8f0a67225464aebd919
# source: outputs/results/consensus_with_mwe_v2.csv
# protocol: each row is a candidate hydrothermal site. Drilling outcomes
#           reported after this date constitute independent validation of
#           the model's predictions. No post-hoc edits are permitted.
discovery_id,lat,lon,area_km2,T_res_central,mwe_p10,mwe_p50,mwe_p90,province,plausibility
6,34.02551040000001,-117.785785,80.0,68.8983342051506,0.0,0.0,0.0825639810880166,Basin_and_Range,plausible
7,34.928614333333336,-116.41611333333331,48.0,131.5701961517334,0.571956294204055,5.117461432248417,22.972280991374863,Basin_and_Range,plausible
8,35.141215249999995,-116.9086325,64.0,91.73014491796494,0.0,0.0120470506699622,3.4305272414930865,Basin_and_Range,plausible
15,37.66383618181819,-117.12610795454545,352.0,113.60290050506592,0.0,11.968184419172136,63.1286362860576,Basin_and_Range,plausible
16,37.57563825,-118.245465,64.0,193.28665494918823,20.725635697509368,55.3137708034504,144.2196377417595,Other,plausible
17,37.683435,-115.187165,80.0,216.170506477356,42.05251493129638,112.90174660108198,308.7392229451989,Basin_and_Range,plausible
18,37.8954369,-118.5081429,160.0,215.8303660154343,85.60179359764737,221.9580376599293,611.9329410290637,Other,plausible
20,38.12959716666666,-112.68509566666668,384.0,199.48737263679504,143.0912935797984,380.2193684908343,1008.3945992310609,Rocky_Mountain,plausible
22,38.00356127272727,-114.60381890909092,176.0,232.5734770298004,134.68287098012627,347.0207005696228,833.1121921371823,Basin_and_Range,plausible
24,38.39489830000001,-117.5934662,160.0,71.77367925643921,0.0,0.0,0.6857085755330433,Basin_and_Range,plausible
26,38.34219744444445,-122.37323866666668,144.0,197.8701001405716,54.21689266048275,140.09640202212356,372.46659329738543,Other,plausible
32,38.85124016666667,-116.75227866666668,96.0,194.96258199214932,34.18341055663792,86.57477067891543,229.8502282938751,Basin_and_Range,plausible
33,39.05884872222222,-123.30615422222225,288.0,203.43878149986267,115.10978340236336,304.6121071347632,788.1311938038268,Other,plausible
34,38.953048333333335,-118.917792,48.0,198.61237347126007,18.09262895512091,46.899728549899805,121.4648059929973,Other,plausible
35,39.036889333333335,-117.666952,48.0,208.1533378362656,21.138344015202428,55.95062469996853,156.07399013454304,Basin_and_Range,plausible
38,39.163197454545454,-118.0151980909091,176.0,205.3598117828369,70.93433929882762,199.2308172307425,507.50676267583066,Other,plausible
39,39.5040115,-117.23306841666668,192.0,200.5433088541031,75.74611176115275,203.7089183377409,531.2959203568481,Basin_and_Range,plausible
40,39.92431254545455,-118.49279190909093,176.0,213.74391555786133,89.51784763760693,222.661168278449,628.2276979552379,Other,plausible
41,39.93691242857143,-119.91399814285715,112.0,188.9348530769348,33.964839714183086,90.33453211054308,237.84675890717804,Other,plausible
43,40.186025117647056,-115.27932270588236,272.0,216.8998330831528,144.092531290494,391.021873583294,1042.3438273209613,Basin_and_Range,plausible
45,40.53315484615385,-116.77512926923076,832.0,218.71716022491452,480.7341235292703,1298.1695374508158,3331.390937017032,Basin_and_Range,plausible
49,40.74026035714287,-114.78108967857142,448.0,231.3138771057129,335.250867510475,873.1978140681106,2162.398483177418,Basin_and_Range,plausible
54,41.11360276923077,-116.15993246153845,208.0,216.2095469236374,109.74587772465524,293.0107691130539,766.0513702234723,Basin_and_Range,plausible
70,41.901006375,-120.737374125,256.0,195.8647346496582,91.05335418215216,231.30421539597128,599.5462817767453,Cascades,plausible
75,42.42395199999999,-118.02433628571428,224.0,222.6759624481201,137.96749199661713,366.0634247503775,936.1464304576853,Other,plausible
77,42.27080966666666,-118.98033516666668,96.0,220.12805700302124,57.98822058077707,151.55407872904613,393.2224327191259,Other,plausible
80,42.43849566666666,-120.18426666666666,48.0,197.71344602108,17.611851798522665,45.38256097660876,121.55201913433778,Cascades,plausible
84,42.58821425,-121.82208649999998,64.0,178.30185890197754,14.148571895434984,40.50274608586812,104.43191408978548,Cascades,plausible
87,42.67804575,-120.9894965,64.0,185.37789583206177,16.900324140467387,47.446278258216594,117.78352271055245,Cascades,plausible
90,42.96550500000001,-118.226706,80.0,238.3064103126526,68.79820922356156,174.38574223912747,429.2617312585482,Other,plausible
93,43.12121266666667,-121.935445,48.0,202.0095807313919,19.75382192881782,51.03543362293931,136.27738026630658,Cascades,plausible
96,43.56198260000001,-121.688401,80.0,221.46535396575928,45.05541089765033,121.89514719862696,322.4824198706538,Cascades,plausible
102,43.99556833333333,-114.30532333333332,48.0,188.6099207401276,13.477620763247652,37.81957555214579,97.33480838419536,Snake_River_Plain,plausible
