cohort,n_available,n_sample,mean_p,mean_pct,frac_below_10pct,frac_below_5pct,frac_above_50pct,frac_above_90pct,mean_hf_z,mean_d_to_field_km
NC3_random_deep,25486,100,0.0003664150135591626,5.420314351358351,0.89,0.49,0.0,0.0,0.10795889049768448,293.5646680157519
NC4_cratonic_low_HF,347,100,0.0006158241303637624,10.098577732100614,0.32,0.0,0.0,0.0,-1.0403509140014648,203.7972498297956
NC5_colorado_plateau_strict,1231,100,0.8962290287017822,42.96722710845163,0.01,0.0,0.3,0.0,-0.6309844255447388,177.2688233917837
NC6_montana_wyoming_platform,14568,100,0.4570348858833313,23.054100539773813,0.0,0.0,0.06,0.0,-0.6165130138397217,377.4049629450944
