discovery_id,lat,lon,province,mwe_p50,dist_to_qfault_km
45,40.53315484615385,-116.77512926923076,Basin_and_Range,1298.1695374508158,0.47939846013669535
49,40.74026035714287,-114.78108967857142,Basin_and_Range,873.1978140681106,3.442678351859047
43,40.186025117647056,-115.27932270588236,Basin_and_Range,391.021873583294,2.668860696152831
20,38.12959716666666,-112.68509566666668,Rocky_Mountain,380.2193684908343,3.388124518384769
75,42.42395199999999,-118.02433628571428,Other,366.0634247503775,13.525976999480266
22,38.00356127272727,-114.60381890909092,Basin_and_Range,347.0207005696228,3.4971487565138446
33,39.05884872222222,-123.30615422222225,Other,304.6121071347632,11.262665323798084
54,41.11360276923077,-116.15993246153845,Basin_and_Range,293.0107691130539,0.06286154594322949
70,41.901006375,-120.737374125,Cascades,231.30421539597128,7.018551880812832
40,39.92431254545455,-118.49279190909093,Other,222.661168278449,1.4160241396108064
18,37.8954369,-118.5081429,Other,221.9580376599293,1.1835964923843916
39,39.5040115,-117.23306841666668,Basin_and_Range,203.7089183377409,2.818375784789567
38,39.163197454545454,-118.0151980909091,Other,199.2308172307425,3.179887182056439
90,42.96550500000001,-118.226706,Other,174.38574223912747,3.4939067123199528
77,42.27080966666666,-118.98033516666668,Other,151.55407872904613,4.819196993104081
26,38.34219744444445,-122.37323866666668,Other,140.09640202212356,1.5459121961892002
96,43.56198260000001,-121.688401,Cascades,121.89514719862696,0.8166082554973991
17,37.683435,-115.187165,Basin_and_Range,112.90174660108198,1.6132116344508036
41,39.93691242857143,-119.91399814285715,Other,90.33453211054308,0.3050261027797571
32,38.85124016666667,-116.75227866666668,Basin_and_Range,86.57477067891543,6.048685613514894
35,39.036889333333335,-117.666952,Basin_and_Range,55.95062469996853,3.9265901085798176
16,37.57563825,-118.245465,Other,55.3137708034504,8.938524002750396
93,43.12121266666667,-121.935445,Cascades,51.03543362293931,11.389657659109695
87,42.67804575,-120.9894965,Cascades,47.446278258216594,20.11669562484696
34,38.953048333333335,-118.917792,Other,46.899728549899805,0.7571808376376835
80,42.43849566666666,-120.18426666666666,Cascades,45.38256097660876,5.504122234422035
84,42.58821425,-121.82208649999998,Cascades,40.50274608586812,9.771233102186077
102,43.99556833333333,-114.30532333333332,Snake_River_Plain,37.81957555214579,27.975744842018393
15,37.66383618181819,-117.12610795454545,Basin_and_Range,11.968184419172136,0.42249186861436855
7,34.928614333333336,-116.41611333333331,Basin_and_Range,5.117461432248417,3.7387953240482004
8,35.141215249999995,-116.9086325,Basin_and_Range,0.0120470506699622,6.859915873118415
24,38.39489830000001,-117.5934662,Basin_and_Range,0.0,17.443763155855386
6,34.02551040000001,-117.785785,Basin_and_Range,0.0,5.204598352550761
