cohort,n,mean_p,median_p,mean_percentile,median_percentile,frac_above_50pct,frac_above_90pct
NC1_colorado_plateau,100,0.997575581073761,0.9982568025588989,47.73647598420182,44.38484732662335,0.38,0.0
NC3_random_deep,100,4.8806709855853114e-06,2.7599307941272855e-06,5.3237440013589845,5.50070072620716,0.0,0.0
random_western_us,100,0.8206071257591248,0.9993211030960083,51.97730071771352,54.375928993077665,0.56,0.11
known_positives,1370,0.9998515844345093,0.9999370574951172,85.58065791076645,90.0709219858156,0.9671532846715328,0.5043795620437956
temporal_holdout_post2008,22,0.9999452179128473,0.9999457597732544,95.72927645675765,96.16872637703317,1.0,1.0
