cluster_id,lat_centroid,lon_centroid,n_cells,area_km2,score_mean,uncertainty_mean,T_est_C,P10_MWe,P50_MWe,P90_MWe
5.0,27.165942464590835,-101.1502860973003,5403.0,86448.0,0.8080195188522339,0.07434631139039993,78.05217107137045,0.0,0.0,929.5053337236009
34.0,32.69852676967321,-94.98012285065265,4.0,64.0,0.7587212324142456,0.07813230156898499,80.64159393310547,0.0,0.0,1.1620416554305477
46.0,34.07188603073305,-97.71737487332817,34.0,544.0,0.7581561803817749,0.09040357917547226,80.76266606648763,0.0,0.0,10.343414604498951
31.0,32.482241079079216,-94.54413979036461,117.0,1872.0,0.7560900449752808,0.0968368723988533,84.30391947428386,0.0,0.0,56.91125831778956
15.0,29.910541766384977,-97.99142341092389,53.0,848.0,0.7468438744544983,0.10011660307645798,77.82271703084311,0.0,0.0,11.259581467488617
2.0,25.690770317320702,-99.22142268274209,58.0,928.0,0.7463803887367249,0.08804138749837875,74.46828206380208,0.0,0.0,6.622924863252684
22.0,40.21881475246277,-102.99913291074185,467.0,7472.0,0.7362356781959534,0.11507748812437057,56.68982823689779,0.0,0.0,0.0
54.0,41.268415379087735,-78.14737929665785,8.0,128.0,0.7356392741203308,0.11116363108158112,76.98528289794922,0.0,0.0,1.1672448000499913
52.0,41.2892048662804,-76.98802418480571,70.0,1120.0,0.7331609725952148,0.09909511357545853,79.97505187988281,0.0,0.0,17.067859298783013
14.0,29.747719448726837,-102.07838356968095,31.0,496.0,0.724079430103302,0.09707838296890259,81.25809987386067,0.0,0.0,8.874779918770454
19.0,30.052102048149607,-96.54810444198368,5.0,80.0,0.723138153553009,0.10607139766216278,74.73681131998698,0.0,0.0,0.6336954253036976
37.0,33.254435150289765,-91.28107582469224,43.0,688.0,0.7208276987075806,0.09838176518678665,80.52234013875325,0.0,0.0,13.804537370551817
56.0,41.864295125165114,-77.56685367161937,18.0,288.0,0.7196605205535889,0.10392149537801743,75.56297302246094,0.0,0.0,1.9918693975669486
32.0,32.467415803743705,-92.63132037557286,11.0,176.0,0.7175471782684326,0.09312596172094345,76.67902628580728,0.0,0.0,1.5140407079604963
11.0,28.974128638160362,-98.8697070277134,5.0,80.0,0.7143486738204956,0.09332026541233063,76.66758219401041,0.0,0.0,0.7310145533275836
38.0,33.14947897951871,-90.6001226235056,5.0,80.0,0.7121332883834839,0.12371118366718292,78.12206268310547,0.0,0.0,0.7794124749818497
40.0,33.22853036291792,-92.15685614029337,3.0,48.0,0.7116497159004211,0.11050903797149658,82.55746841430664,0.0,0.0,1.0411425438349116
41.0,33.32135585100033,-92.40806313842624,12.0,192.0,0.7111916542053223,0.11549407243728638,83.83317947387695,0.0,0.0,5.0149136993260415
42.0,33.51804322160076,-94.02982123852604,70.0,1120.0,0.710346519947052,0.1003066673874855,70.54658889770508,0.0,0.0,2.4575112624729525
44.0,33.61139678094859,-89.65590494529448,29.0,464.0,0.7077025771141052,0.10453707724809647,75.51722208658853,0.0,0.0,4.368457211917132
33.0,32.5997125404242,-93.48412893639853,4.0,64.0,0.7058840990066528,0.10100067406892776,77.47921625773111,0.0,0.0,0.6769390708363924
50.0,38.96574440052736,-80.38387145167688,3.0,48.0,0.6983442902565002,0.11250925064086914,79.8266092936198,0.0,0.0,0.7545445655467422
51.0,40.58954879113022,-79.21192920878822,7.0,112.0,0.6979964971542358,0.12215674668550491,83.02916208902995,0.0,0.0,2.725767158110419
27.0,31.97089471793047,-96.46486869036353,4.0,64.0,0.6966707110404968,0.13220825791358948,81.77963256835938,0.0,0.0,1.5100338900424126
36.0,33.00361986132758,-95.99286615489989,27.0,432.0,0.6952786445617676,0.10530945658683777,77.93779373168945,0.0,0.0,5.2597795272603065
45.0,34.13912811656046,-91.40592017014048,155.0,2480.0,0.6946847438812256,0.1067470833659172,74.87276713053384,0.0,0.0,15.32174485213296
1.0,25.587238848108427,-98.6100371925432,35.0,560.0,0.6924161911010742,0.10326529294252396,75.31488418579102,0.0,0.0,4.230193792206285
21.0,30.473709426278734,-96.01119635045187,3.0,48.0,0.689351499080658,0.10814628005027771,75.94532012939453,0.0,0.0,0.44777601018916846
47.0,34.03102167924326,-88.85742094093587,3.0,48.0,0.6885697841644287,0.10299863666296005,78.81542841593425,0.0,0.0,0.7727651163610821
8.0,26.165558749550875,-98.49795816405853,16.0,256.0,0.6855705976486206,0.10219460725784302,73.96992365519205,0.0,0.0,1.3972847554537111
0.0,25.42220625224579,-98.1070875736801,4.0,64.0,0.6847888827323914,0.08691027760505676,73.42892964680989,0.0,0.0,0.3594841814244284
39.0,33.156665468918646,-94.58644024163841,3.0,48.0,0.6812412142753601,0.10660561919212341,76.20671590169272,0.0,0.0,0.46663145257393285
10.0,28.620194035213892,-98.08459142459357,4.0,64.0,0.6811661720275879,0.13422472774982452,79.3581771850586,0.0,0.0,0.9069386561180284
20.0,30.345479909534916,-101.66081747790786,17.0,272.0,0.681101381778717,0.11603326350450516,78.24058532714844,0.0,0.0,3.538367101491062
35.0,32.923885703573134,-93.23471510956962,23.0,368.0,0.6807302832603455,0.10380472987890244,73.33522160847981,0.0,0.0,2.1933901919642746
49.0,38.815307222422206,-79.7281836929682,25.0,400.0,0.6789600849151611,0.11994783580303192,77.00619379679361,0.0,0.0,4.300352957791371
7.0,25.922266139657467,-98.30580355727777,3.0,48.0,0.6774186491966248,0.12896578013896942,73.31026077270508,0.0,0.0,0.2285671331812198
