cluster_id,n_cells,area_km2,lat_centroid,lon_centroid,score_mean,score_max,uncertainty_mean,T_est_C,T_source,HF_mW_m2,P10_MWe,P50_MWe,P90_MWe
5.0,5403.0,86448.0,27.165942464590835,-101.1502860973003,0.8080195188522339,0.9196217060089111,0.07434631139039993,78.05217107137045,heat_flow_proxy,75.66260528564453,0.0,0.0,929.5053337236009
34.0,4.0,64.0,32.69852676967321,-94.98012285065265,0.7587212324142456,0.8241959810256958,0.07813230156898499,80.64159393310547,heat_flow_proxy,78.76991271972656,0.0,0.0,1.1620416554305477
46.0,34.0,544.0,34.07188603073305,-97.71737487332817,0.7581561803817749,0.8543717861175537,0.09040357917547226,80.76266606648763,heat_flow_proxy,78.91519927978516,0.0,0.0,10.343414604498951
31.0,117.0,1872.0,32.482241079079216,-94.54413979036461,0.7560900449752808,0.888307511806488,0.0968368723988533,84.30391947428386,heat_flow_proxy,83.16470336914062,0.0,0.0,56.91125831778956
15.0,53.0,848.0,29.910541766384977,-97.99142341092389,0.7468438744544983,0.8497753739356995,0.10011660307645798,77.82271703084311,heat_flow_proxy,75.38726043701172,0.0,0.0,11.259581467488617
2.0,58.0,928.0,25.690770317320702,-99.22142268274209,0.7463803887367249,0.8714985847473145,0.08804138749837875,74.46828206380208,heat_flow_proxy,71.3619384765625,0.0,0.0,6.622924863252684
22.0,467.0,7472.0,40.21881475246277,-102.99913291074185,0.7362356781959534,0.8627249002456665,0.11507748812437057,56.68982823689779,heat_flow_proxy,50.027793884277344,0.0,0.0,0.0
54.0,8.0,128.0,41.268415379087735,-78.14737929665785,0.7356392741203308,0.796661913394928,0.11116363108158112,76.98528289794922,heat_flow_proxy,74.38233947753906,0.0,0.0,1.1672448000499913
52.0,70.0,1120.0,41.2892048662804,-76.98802418480571,0.7331609725952148,0.8815257549285889,0.09909511357545853,79.97505187988281,heat_flow_proxy,77.97006225585938,0.0,0.0,17.067859298783013
14.0,31.0,496.0,29.747719448726837,-102.07838356968095,0.724079430103302,0.8909334540367126,0.09707838296890259,81.25809987386067,heat_flow_proxy,79.50971984863281,0.0,0.0,8.874779918770454
19.0,5.0,80.0,30.052102048149607,-96.54810444198368,0.723138153553009,0.7796915769577026,0.10607139766216278,74.73681131998698,heat_flow_proxy,71.68417358398438,0.0,0.0,0.6336954253036976
37.0,43.0,688.0,33.254435150289765,-91.28107582469224,0.7208276987075806,0.8761550188064575,0.09838176518678665,80.52234013875325,heat_flow_proxy,78.6268081665039,0.0,0.0,13.804537370551817
56.0,18.0,288.0,41.864295125165114,-77.56685367161937,0.7196605205535889,0.8330050706863403,0.10392149537801743,75.56297302246094,heat_flow_proxy,72.67556762695312,0.0,0.0,1.9918693975669486
32.0,11.0,176.0,32.467415803743705,-92.63132037557286,0.7175471782684326,0.7977222204208374,0.09312596172094345,76.67902628580728,heat_flow_proxy,74.01483154296875,0.0,0.0,1.5140407079604963
11.0,5.0,80.0,28.974128638160362,-98.8697070277134,0.7143486738204956,0.774591863155365,0.09332026541233063,76.66758219401041,heat_flow_proxy,74.0010986328125,0.0,0.0,0.7310145533275836
38.0,5.0,80.0,33.14947897951871,-90.6001226235056,0.7121332883834839,0.8175854086875916,0.12371118366718292,78.12206268310547,heat_flow_proxy,75.74647521972656,0.0,0.0,0.7794124749818497
40.0,3.0,48.0,33.22853036291792,-92.15685614029337,0.7116497159004211,0.771300196647644,0.11050903797149658,82.55746841430664,heat_flow_proxy,81.06896209716797,0.0,0.0,1.0411425438349116
41.0,12.0,192.0,33.32135585100033,-92.40806313842624,0.7111916542053223,0.8284011483192444,0.11549407243728638,83.83317947387695,heat_flow_proxy,82.59981536865234,0.0,0.0,5.0149136993260415
42.0,70.0,1120.0,33.51804322160076,-94.02982123852604,0.710346519947052,0.8628008961677551,0.1003066673874855,70.54658889770508,heat_flow_proxy,66.6559066772461,0.0,0.0,2.4575112624729525
44.0,29.0,464.0,33.61139678094859,-89.65590494529448,0.7077025771141052,0.8493903279304504,0.10453707724809647,75.51722208658853,heat_flow_proxy,72.62066650390625,0.0,0.0,4.368457211917132
33.0,4.0,64.0,32.5997125404242,-93.48412893639853,0.7058840990066528,0.8300464749336243,0.10100067406892776,77.47921625773111,heat_flow_proxy,74.97505950927734,0.0,0.0,0.6769390708363924
50.0,3.0,48.0,38.96574440052736,-80.38387145167688,0.6983442902565002,0.76038658618927,0.11250925064086914,79.8266092936198,heat_flow_proxy,77.79193115234375,0.0,0.0,0.7545445655467422
51.0,7.0,112.0,40.58954879113022,-79.21192920878822,0.6979964971542358,0.7999366521835327,0.12215674668550491,83.02916208902995,heat_flow_proxy,81.63499450683594,0.0,0.0,2.725767158110419
27.0,4.0,64.0,31.97089471793047,-96.46486869036353,0.6966707110404968,0.7404886484146118,0.13220825791358948,81.77963256835938,heat_flow_proxy,80.13555908203125,0.0,0.0,1.5100338900424126
36.0,27.0,432.0,33.00361986132758,-95.99286615489989,0.6952786445617676,0.8257008790969849,0.10530945658683777,77.93779373168945,heat_flow_proxy,75.52535247802734,0.0,0.0,5.2597795272603065
