cluster_id,n_cells,area_km2,lat_centroid,lon_centroid,score_mean,score_max,uncertainty_mean
5,5403,86448.0,27.165942464590835,-101.1502860973003,0.8080195188522339,0.9196217060089111,0.07434631139039993
34,4,64.0,32.69852676967321,-94.98012285065265,0.7587212324142456,0.8241959810256958,0.07813230156898499
46,34,544.0,34.07188603073305,-97.71737487332817,0.7581561803817749,0.8543717861175537,0.09040357917547226
31,117,1872.0,32.482241079079216,-94.54413979036461,0.7560900449752808,0.888307511806488,0.0968368723988533
15,53,848.0,29.910541766384977,-97.99142341092389,0.7468438744544983,0.8497753739356995,0.10011660307645798
2,58,928.0,25.690770317320702,-99.22142268274209,0.7463803887367249,0.8714985847473145,0.08804138749837875
22,467,7472.0,40.21881475246277,-102.99913291074185,0.7362356781959534,0.8627249002456665,0.11507748812437057
54,8,128.0,41.268415379087735,-78.14737929665785,0.7356392741203308,0.796661913394928,0.11116363108158112
52,70,1120.0,41.2892048662804,-76.98802418480571,0.7331609725952148,0.8815257549285889,0.09909511357545853
14,31,496.0,29.747719448726837,-102.07838356968095,0.724079430103302,0.8909334540367126,0.09707838296890259
19,5,80.0,30.052102048149607,-96.54810444198368,0.723138153553009,0.7796915769577026,0.10607139766216278
37,43,688.0,33.254435150289765,-91.28107582469224,0.7208276987075806,0.8761550188064575,0.09838176518678665
56,18,288.0,41.864295125165114,-77.56685367161937,0.7196605205535889,0.8330050706863403,0.10392149537801743
32,11,176.0,32.467415803743705,-92.63132037557286,0.7175471782684326,0.7977222204208374,0.09312596172094345
11,5,80.0,28.974128638160362,-98.8697070277134,0.7143486738204956,0.774591863155365,0.09332026541233063
38,5,80.0,33.14947897951871,-90.6001226235056,0.7121332883834839,0.8175854086875916,0.12371118366718292
40,3,48.0,33.22853036291792,-92.15685614029337,0.7116497159004211,0.771300196647644,0.11050903797149658
41,12,192.0,33.32135585100033,-92.40806313842624,0.7111916542053223,0.8284011483192444,0.11549407243728638
42,70,1120.0,33.51804322160076,-94.02982123852604,0.710346519947052,0.8628008961677551,0.1003066673874855
44,29,464.0,33.61139678094859,-89.65590494529448,0.7077025771141052,0.8493903279304504,0.10453707724809647
33,4,64.0,32.5997125404242,-93.48412893639853,0.7058840990066528,0.8300464749336243,0.10100067406892776
50,3,48.0,38.96574440052736,-80.38387145167688,0.6983442902565002,0.76038658618927,0.11250925064086914
51,7,112.0,40.58954879113022,-79.21192920878822,0.6979964971542358,0.7999366521835327,0.12215674668550491
27,4,64.0,31.97089471793047,-96.46486869036353,0.6966707110404968,0.7404886484146118,0.13220825791358948
36,27,432.0,33.00361986132758,-95.99286615489989,0.6952786445617676,0.8257008790969849,0.10530945658683777
45,155,2480.0,34.13912811656046,-91.40592017014048,0.6946847438812256,0.908126950263977,0.1067470833659172
1,35,560.0,25.587238848108427,-98.6100371925432,0.6924161911010742,0.8588352203369141,0.10326529294252396
21,3,48.0,30.473709426278734,-96.01119635045187,0.689351499080658,0.71091228723526,0.10814628005027771
47,3,48.0,34.03102167924326,-88.85742094093587,0.6885697841644287,0.8126882910728455,0.10299863666296005
8,16,256.0,26.165558749550875,-98.49795816405853,0.6855705976486206,0.816164493560791,0.10219460725784302
0,4,64.0,25.42220625224579,-98.1070875736801,0.6847888827323914,0.7853809595108032,0.08691027760505676
39,3,48.0,33.156665468918646,-94.58644024163841,0.6812412142753601,0.7321107983589172,0.10660561919212341
10,4,64.0,28.620194035213892,-98.08459142459357,0.6811661720275879,0.7465452551841736,0.13422472774982452
20,17,272.0,30.345479909534916,-101.66081747790786,0.681101381778717,0.7606484889984131,0.11603326350450516
35,23,368.0,32.923885703573134,-93.23471510956962,0.6807302832603455,0.8449840545654297,0.10380472987890244
49,25,400.0,38.815307222422206,-79.7281836929682,0.6789600849151611,0.8167478442192078,0.11994783580303192
7,3,48.0,25.922266139657467,-98.30580355727777,0.6774186491966248,0.7245292067527771,0.12896578013896942
55,3,48.0,41.612767996167634,-77.33939260863337,0.6767920851707458,0.7384332418441772,0.10299869626760483
59,3,48.0,45.27787759013108,-86.51782143593692,0.6736295819282532,0.6884438395500183,0.10219762474298477
4,23,368.0,25.732709462731815,-97.1783878537819,0.6689767241477966,0.7832898497581482,0.1067073866724968
29,5,80.0,32.07869205892939,-94.75741097469601,0.6617535948753357,0.748049795627594,0.10307104885578156
30,8,128.0,32.087675170679304,-94.31648645260006,0.6609338521957397,0.7283003926277161,0.12750592827796936
12,7,112.0,29.157897438529954,-97.24741330501634,0.6596410870552063,0.7336617112159729,0.12536413967609406
26,3,48.0,31.767277518265832,-94.8413965979524,0.6592907905578613,0.7370304465293884,0.12601254880428314
13,3,48.0,29.144208887291995,-94.66142740526017,0.658078134059906,0.6815178394317627,0.11305242776870728
6,7,112.0,25.90857758841951,-98.59718225020802,0.6562143564224243,0.7254237532615662,0.1408757120370865
3,3,48.0,25.658761528326764,-97.85588057554719,0.6543118357658386,0.7114001512527466,0.10494804382324219
43,4,64.0,33.45310815666569,-92.93297328377858,0.653515636920929,0.7237115502357483,0.12584443390369415
25,5,80.0,31.79123248293226,-93.27266513498516,0.6527469754219055,0.6904927492141724,0.13458546996116638
18,3,48.0,30.006587615283394,-89.08238243180115,0.643169641494751,0.6658737659454346,0.12233364582061768
53,3,48.0,41.073781291173006,-80.20390225898466,0.643032968044281,0.6655631065368652,0.13519875705242157
28,4,64.0,31.997844053180202,-93.94529999267235,0.6429837346076965,0.6930128335952759,0.12174869328737259
48,7,112.0,37.586622863303035,-80.25960700910368,0.6421178579330444,0.7032886147499084,0.12486729770898819
57,7,112.0,44.726913402803234,-86.62923093617496,0.6420757174491882,0.671081006526947,0.11558287590742111
9,5,80.0,27.5368307581747,-98.85171010844418,0.636432409286499,0.657931387424469,0.12802857160568237
16,4,64.0,29.850880344951616,-84.31694818363823,0.6356397867202759,0.6509812474250793,0.12498029321432114
58,10,160.0,45.27308659719779,-87.36517638486283,0.6322880983352661,0.6850311756134033,0.10963759571313858
17,3,48.0,29.970655168283756,-89.47231568263432,0.6261479258537292,0.645253598690033,0.11894873529672623
23,6,96.0,31.084561025272638,-81.11874565517014,0.6260071396827698,0.6557711362838745,0.1306162029504776
24,4,64.0,31.665468918433515,-96.10493030497906,0.6194631457328796,0.6501583456993103,0.13680654764175415
60,3,48.0,48.427955443766315,-102.64006161461555,0.6146960854530334,0.6287756562232971,0.09814102202653885
