method,auroc,auprc,capture_top5pct,capture_top10pct,holdout_mean_pct,holdout_top10_capture
XGBoost,1.0,1.0,1.0,1.0,61.12880621735253,0.0
RandomForest,1.0,1.0,1.0,1.0,59.37486728670319,0.0
LogisticRegression,1.0,0.9999999999999999,1.0,1.0,95.32617550199407,0.9090909090909091
GeoProspectNet,1.0,0.9999999999999999,1.0,1.0,98.19573618720005,1.0
HeatFlowRule,0.8580948947643928,0.6107857634990461,0.5922330097087378,0.6456310679611651,93.12047085712521,0.8181818181818182
