id,gid,latitude,longitude,area_or_ams_map,hole_name,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,water_symbold,surf_temp,min_temp,max_temp,bot_temp,lit_info,comment_info,interval_id,depth,bottom,avg_tcu,avg_tcu_sym,avg_tcu_std_err,bulk_tcu,bulk_tcu_repeats,porosity,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,heat_production,heat_production_sym,heat_production_std_err,num_hg,aquifier_temp,aquifier_temp_sym,aquifier_temp_std_err,quality_code,pub_ref,new_pub_ref,info,smu_id,link,copyrighted,second_link
97021413-c22b-3e2e-8dfc-c4c8bf0ac5a7,NV-02847,40.2265568,-118.9543256,Adobe Valley,TM-49,"","",NV,BASIN AND RANGE,"",,,1173.78,91.46,,"",,,23.7,23.7,"",Pershing County http://pubs.usgs.gov/of/1999/of99-425/webmaps/home.html,a,,91.46,1.4,SMU-2,,,,,49.14,"",,,"",,68.796,"",,,"",,,"",,,,"",,B,USGS-Sass99,USGS-Sass99,"USGS-SASS99, USGS Open-file Report 99-425 online version 1.0, Geothermal Industry Temperature Profiles from the Great Basin, by John H. Sass, Susan S. Priest, Arnold J. Blanton, Penelope C. Sackett, Stephanie L. Welch and Mark A. Walters.",SMU 100763,http://pubs.usgs.gov/of/1999/of99-425/webmaps/home.html,No,""
daea9769-0002-3fe6-b97a-0a195a4a402f,NV-02860,39.8841032,-117.9954606,Dixie Valley,DD 10A,23N/35E-1,"",NV,BASIN AND RANGE,"",1976-01-03,,1048,60.9,,"",,,20.39,20.39,"",REF (PLATE13OFQUESTLEASTHOLDANDVICINITY;(D0-35) Millet map,a,0,60.9,1.4,SMU-2,,,,,66,"",,,"",,92.4,"",,,"",,,"",,,,"",,B,"",Phillips98M,"Phillips Petroleum Company, 1998 data release of: Temperature-gradient drill holes, Millet AMS Sheet, 1977.",SMU 100695,"",No,Millett AMS NV Phillips Heat Flow Map 1983.FN.pdf
e978ecb4-054a-36e9-acec-f3fc4980a593,NV-02861,39.8774031,-118.0086608,Dixie Valley,DD 11,23N/35E-11,"",NV,BASIN AND RANGE,"",1976-01-23,,1067,91.5,,"",,,23.29,23.29,"",REF (PLATE13OFQUESTLEASTHOLDANDVICINITY;(D0-35),a,0,91.5,1.4,SMU-2,,,,,79,"",,,"",,110.6,"",,,"",,,"",,,,"",,B,"",SouthlandRoyaltyCo78,"Shallow temperature gradient hole record for Dixie Valley SR-2, for Southland Royalty Company, 1978.",SMU 1503,http://www.osti.gov/scitech/biblio/894828,No,OSTI ID: 894828
b46c1595-e45e-3dd7-b549-48ed7673ce3b,NV-02865,39.8526049,-117.8347556,Dixie Valley,DD 15,23N/37E-20,"",NV,BASIN AND RANGE,"",1976-01-05,,1060,91.5,,"",,,18.5,18.5,"",REF (PLATE13OFQUESTLEASTHOLDANDVICINITY;(D0-35) Millet map,a,0,91.5,1.4,SMU-2,,,,,49,"",,,"",,68.6,"",,,"",,,"",,,,"",,B,"",Phillips98M,"Phillips Petroleum Company, 1998 data release of: Temperature-gradient drill holes, Millet AMS Sheet, 1977.",SMU 100695,"",No,Millett AMS NV Phillips Heat Flow Map 1983.FN.pdf
f4d31fa2-4814-3c52-bc93-17e518da6ae8,NV-02869,39.8164039,-118.0281605,Dixie Valley,DD 3,23N/35E-34,"",NV,BASIN AND RANGE,"",1976-01-13,,1050,77.7,,"",,,21.1,21.1,"",REF (PLATE13OFQUESTLEASTHOLDANDVICINITY;(D0-35),a,0,77.7,1.4,SMU-2,,,,,49,"",,,"",,68.6,"",,,"",,,"",,,,"",,B,"",SouthlandRoyaltyCo78,"Shallow temperature gradient hole record for Dixie Valley SR-2, for Southland Royalty Company, 1978.",SMU 1503,http://www.osti.gov/scitech/biblio/894828,No,OSTI ID: 894828
88eea2b2-9807-3997-894e-72df8cc08ccd,NV-02870,39.8306037,-118.0296608,Dixie Valley,DD 6,23N/35E-27,"",NV,BASIN AND RANGE,"",1976-01-15,,1073,91.5,,"",,,23.6,23.6,"",REF (PLATE13OFQUESTLEASTHOLDANDVICINITY;(D0-35) || 2020 corrected location,a,0,91.5,1.4,SMU-2,,,,,72,"",,,"",,100.8,"",,,"",,,"",,,,"",,B,"",SouthlandRoyaltyCo78,"Shallow temperature gradient hole record for Dixie Valley SR-2, for Southland Royalty Company, 1978.",SMU 1503,http://www.osti.gov/scitech/biblio/894828,No,OSTI ID: 894828
ca7d3fd9-ca4d-3ce8-af13-44e05ec32f3e,NV-02871,40.1399021,-117.6759551,Dixie Valley,P-03,26N/38E,"",NV,BASIN AND RANGE,"",,,1189.02,121.95,,"",,,18,18,"",http://geopubs.wr.usgs.gov/open-file/of99-425/webmaps/,a,,121.95,1.4,SMU-2,,,,,25.48,"",,,"",,35.672,"",,,"",,,"",,,,"",,B,USGS-Sass99,USGS-Sass99,"USGS-SASS99, USGS Open-file Report 99-425 online version 1.0, Geothermal Industry Temperature Profiles from the Great Basin, by John H. Sass, Susan S. Priest, Arnold J. Blanton, Penelope C. Sackett, Stephanie L. Welch and Mark A. Walters.",SMU 100763,http://pubs.usgs.gov/of/1999/of99-425/webmaps/home.html,No,""
0cdc0765-a8bf-3616-9598-9d9f4091b008,NV-02872,39.8179038,-118.0311606,Dixie Valley,SR-B,23N/35E-34DB,"",NV,BASIN AND RANGE,"",1976-01-20,,,79.2,,"",,,21.1,21.13,"",REF FROMTHENEVADACD-ROM;GRADIENTFROMD.BLACKWELLFILESSOUTHLANDROYALTYCOMPANY,a,18.3,79.2,1.4,SMU-2,,,,,45,"",,,"",,63,"",,,"",,,"",,,,"",,B,"",Garside97NevadaCD,"Garside, L.J., Nevada geothermal gradient-hole database, Nevada Bureau of Mines and Geology, CD-ROM prepared under INEL Contract NO. C85-110656-005, 1997.",SMU 100638,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/Final_Rpt.doc,No,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/GRADIENT.DBF
cdc7fa30-970f-3c92-bd28-635972b685c1,NV-02874,39.8322036,-118.0292608,Dixie Valley,SR-D,23N/35E-27DA,"",NV,BASIN AND RANGE,"",1976-01-15,,,88.4,,"",,,24,23.54,"",REF FROMTHENEVADACD-ROM;GRADIENTFROMD.BLACKWELLFILESSOUTHLANDROYALTYCOMPANY || 2020 corrected location,a,12.2,88.4,1.4,SMU-2,,,,,77,"",,,"",,107.8,"",,,"",,,"",,,,"",,B,"",Garside97NevadaCD,"Garside, L.J., Nevada geothermal gradient-hole database, Nevada Bureau of Mines and Geology, CD-ROM prepared under INEL Contract NO. C85-110656-005, 1997.",SMU 100638,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/Final_Rpt.doc,No,https://wolfweb.unr.edu/homepage/lgarside/Geothermal/Gradient/GRADIENT.DBF
829c7a7a-9b38-3dd7-baf5-5d9520591214,NV-02881,39.4052909,-118.1688399,Eleven Mile Canyon,345,18N/34E/20DD,"",NV,BASIN AND RANGE,"",1978-01-20,,1255,,,"",15.3,15.91,,18.79,QAL,MGR3F15 - Eleven Mile Well,a,20,110,1.67,"",0.21,,,,32,"",,,"",,53.44,"",,,"",,,"",,,,"",,B,"",AMAX98EGI-TDSeries,"AMAX Inc., 1998 Data release of Nevada Temperature-depth data for 1977 -78 wells: 003-554.  Note data now part of SMU NGDS site field notes.",SMU 100581,"",No,""
